order_id,product_id,quantity_sold,sale_date,store
1, 1, 10,10-10-2021T12:00:00.0000,walmart
1, 1, 10,10-10-2021T12:00:00.0000,walmart
1, 1, 10,10-10-2021T12:00:00.0000,walmart
2, 1, 3,10-10-2020T12:00:00.0000,walmart
3, 2, 3,10-10-2021T12:00:00.0000,bestbuy
4, 2, 2,10-10-2020T12:00:00.0000,bestbuy
5, 2, 20,10-10-2020T12:00:00.0000,amazon
6, 2, 2,10-10-2021T12:00:00.0000,amazon
7, 3, 1,10-10-2020T12:00:00.0000,walmart
8, 3, 1,10-10-2020T12:00:00.0000,amazon
9, 3, 1,10-10-2020T12:00:00.0000,walmart
10, 4, 2,10-10-2020T12:00:00.0000,amazon
11, 4, 3,10-10-2021T12:00:00.0000,bestbuy
12, 4, 1,10-10-2020T12:00:00.0000,bestbuy
13, 4, 1,10-10-2020T12:00:00.0000,bestbuy
14, 4, 1,10-10-2020T12:00:00.0000,walmart
15, 5, 2,10-10-2021T12:00:00.0000,walmart
16, 5, 3,10-10-2020T12:00:00.0000,walmart
17, 5, 3,10-10-2020T12:00:00.0000,walmart
18, 5, 4,10-10-2020T12:00:00.0000,amazon
19, 6, 1,10-10-2020T12:00:00.0000,amazon
20, 6, 1,10-10-2020T12:00:00.0000,amazon
